shortcode,account,url,duration,title,published_datetime,Thumbnail,comment,like,video_play_count,video_view_count,category
CeSekuXlGZX,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2851475979163166295_6962813839,38.685,"Ternyata bertahan hidup di Jakarta gak semudah yang dibayangkan. Kayanya benar kata pepatah ibukota lebih kejam dari ibu tiri. Setuju? | NamanyaJugaLyfe

#Narasi #JadiPaham #NamanyaJugaLyfe #Relationship #Karir #Startup #JakartaKeras  #NarasiOriginal",2022-06-02 11:01:11,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285449529_388762983210814_6958690574971421474_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=4JXrYJ466YUAX-L8R98&edm=ACHbZRIBAAAA&vs=5078084142308446_247384120&_nc_vs=HBksFQAYJEdEbWRBeEVfSDRUdmsyRUJBQ0xEQjQ4MVBKSmdicV9FQUFBRhUAAsgBABUAGCRHSkl0Q0JHanFEd0xPWmdBQUt6dExGelJBSXg0YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm6LnE%2Br2u%2BT8VAigCQzMsF0BDUQYk3S8bGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b111c000&ccb=7-5&oe=629C85EF&oh=00_AT93tV-zuJ8OUKQZoEkea_GeF7C33U_X87_EXYrvRw3prg&_nc_sid=4a9e64,5,571,9167,4921,Reels
CeQsLRklDZU,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850972852953560660_6962813839,65.736,"Saking viralnya Maudy Ayunda, sampai ada netizen yang book shaming alias nyinyir atas buku-buku bacaannya. Hadehh~ 

Emang baca buku harus genre tertentu aja? 

| Narasi Daily 

@narasinewsroom 

#MaudyAyunda #BookTok #Viral #BookShaming #NarasiDaily #NarasiNewsroom #JadiPaham",2022-06-01 18:31:07,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284605787_379118084282550_5141063971995594764_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=T8ESSxScu9oAX-ydaae&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=544351710471896_149483055&_nc_vs=HBksFQAYJEdGdTk5aEMyMkwxT3psZ0JBQXd3VzZweHVsaEhicV9FQUFBRhUAAsgBABUAGCRHQkJBX3hES05iXzVPQWdDQUtuU1lPWEpjUnNCYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmoP%2FMs8z22D8VAigCQzMsF0BQap%2B%2Bdsi0GBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b11b7045&ccb=7-5&oe=629CB6ED&oh=00_AT-Jj_DbgBa3rehD5mrWJzqV1m_YZSO0VWvHp60TYe5n5w&_nc_sid=4a9e64,156,5715,111278,76042,Reels
CeQjy5_FoG1,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850935993988972981_6962813839,26.82,"Kenalan sama supermodel, desainer, sekaligus aktivis, Ashley Graham yang semula membenci tubuhnya hingga berbalik menerima dirinya secara utuh dan mengajak perempuan lain di seluruh dunia untuk mencintai diri mereka yang berharga. 

Apa mantra andalanmu? Coba disebut dan diulang sebelum kamu tidur deh. Membantu aku banget loh ini! | WMN by Narasi

@wmnbynarasi 

#BerFlowerBarengWMN #WMNWords #Words #WMNbyNarasi #WMNtribe #AshleyGraham #Afirmasi #Empowerment #SelfLove",2022-06-01 17:08:51,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/284716598_699317911278950_3776509877408059871_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=4XkicmS4SuYAX9bZ5w9&edm=ACHbZRIBAAAA&vs=3300947870190496_737707228&_nc_vs=HBksFQAYJEdEWnVfQkJtMWFfakJud0NBTjlScVlXNTIyZzBicV9FQUFBRhUAAsgBABUAGCRHSG9GX2hCbGlXS09uV0VCQUVJWDluQjVYbHQ4YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmvoaF6YefpEAVAigCQzMsF0A6xBiTdLxqGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b11aaf9b&ccb=7-5&oe=629CEEB6&oh=00_AT9VpwVN7Y7rp40egjCzharW53llIIRpktDxF2-PLK1b9A&_nc_sid=4a9e64,4,874,21497,10130,Reels
CeQdIoAlsAj,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850906700189712419_6962813839,60.024,"Walaupun hari libur masih dihubungi boss, aku tetap terima pekerjaan ini demi tabungan Rp 100 juta di umur 25 tahun. Semangat buat kamu sobat hustle. | InMySotoyOpinion 

#Narasi #JadiPaham #IMSO #HustleCulture #WorkHardPlayHard #KerjaKeras #InMySotoyOpinion",2022-06-01 16:11:59,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285586898_531493718759198_1821708027705483936_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UTPW9HKhmmwAX_DjHan&edm=ACHbZRIBAAAA&vs=721629525547356_387175913&_nc_vs=HBksFQAYJEdOSzFCUkVlbDA0R1pPTUJBS0RpM0tQTUFVZ1picV9FQUFBRhUAAsgBABUAGCRHQmF4QnhIM21Od1Jqb3NCQUZRd2hndmotYlFVYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmzsO7voG01T8VAigCQzMsF0BN%2B6XjU%2FfPGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b118cabf&ccb=7-5&oe=629CEE61&oh=00_AT-Q60iCDTOXzQuyQ-WjL2zW2_YGcAsyg3t0slBulZ0A6A&_nc_sid=4a9e64,32,2132,51417,25683,Reels
CeQWvxQFqkf,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850878603847444767_6962813839,60.117,"Yuk di simak dan diikuti tips kalau kalian baru terima gajian dari si paling bijak 🥲Siapa tau bisa ikutan bijak ngeHALUnya. Itu keranjang udah pada numpuk, dianggurin aja nih? udah di check out aja kali 😍👜💸 | Get Started

@getstarted.narasi 

#JadiPaham #GetStarted #StartWhereYouAt #Narasi",2022-06-01 15:16:00,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285205997_544752760388909_5341536505932207342_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=TOxZbeHw71wAX8TGkVI&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=1070262370368796_1309839491&_nc_vs=HBksFQAYJEdPM2wteEF0LWNVaWNfOEJBTzdVM3NZbTh5QkticV9FQUFBRhUAAsgBABUAGCRHTEhpQlJHTkFYWTZpNGNBQUpfTzJsQmZRd3BFYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmgtqaw4Ov0T8VAigCQzMsF0BOCHKwIMScGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b11ef19a&ccb=7-5&oe=629C898F&oh=00_AT9zzYNJYjEapjm0GgH0QqYxo5KsJ4MdhGVOB4FhTLrkcg&_nc_sid=4a9e64,6,378,11742,5050,Reels
CeQPkollj_a,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850847052304629722_6962813839,56.75,"Apa itu tanggal muda? Abis gajian, eh semenit kemudian abis buat bayar sana sinii. Gini amat nasib jadi Sandwich Generation, mau healing dikit aja ga bisa :(. | InMySotoyOpinion

Saksikan Selengkapnya di Youtube Narasi!

#IMSO #InMySotoyOpinion",2022-06-01 14:13:08,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/10000000_760831811603369_3551101259378285850_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Re_M9AWETnwAX_dQ-Ak&edm=ACHbZRIBAAAA&vs=413508543969717_3524169072&_nc_vs=HBksFQAYJEdJQ1dtQUNwUzkzMV9MTUNBQnBkcl9iSEMwZ3hicV9FQUFBRhUAAsgBABUAGCRHTHg3X3hDejNXTjREOTRCQVB3MHZ5amEwREVPYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm2o348bqevUAVAigCQzMsF0BMVT987ZFoGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b117a3f2&ccb=7-5&oe=629C7866&oh=00_AT_bSP_pMvAQ1JxrjJU7dPQSqQ7tviQBpNOynmynIhRprA&_nc_sid=4a9e64,127,5731,91205,47828,Reels
CePyOG3lmyh,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850717960922098849_6962813839,60.024,"Sekarang jadi paham kan kalau perbedaan itu yang menyatukan kita semua?

Walaupun memiliki latar belakang dan kepercayaan yang berbeda tapi kita tetap satu “Bhinneka Tunggal Ika”. 

Selamat Hari Pancasila!

#JadiPaham #Narasi #HariPancasila",2022-06-01 09:56:54,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285518249_324503519860179_3836779866662609864_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3CAf-4QT4FEAX-gfpzI&edm=ACHbZRIBAAAA&vs=342466547956533_1752410443&_nc_vs=HBksFQAYJEdLbXBCQkhUbFFkZElpY0JBTWlqeV9uMV9qNDFicV9FQUFBRhUAAsgBABUAGCRHSzk3X3hBOFpWTmFnWUVCQUlRLUFfWXY4dXRHYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmyuyRy4Lr7D8VAigCQzMsF0BN%2B6XjU%2FfPGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b110fec8&ccb=7-5&oe=629D4699&oh=00_AT89Oj7nTROx4skRdJgd-N5ip437gZoitk7wa19gnIND-g&_nc_sid=4a9e64,4,514,15354,4731,Reels
CeN-rQkFDRb,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850209790801753179_6962813839,14.165,"Hayo siapa nih yang relate? 

Perasaan baru aja gajian, tapi abisnya cepet banget kayak numpang lewat. Penyebab ya gak jauh dari tagihan cicilan dan kebutuhan ku yang segunung.☺️🙏🏼

Jadi nikmatin aja deh, yuk!🤣 | Narasi

#Narasi #JadiPaham",2022-05-31 17:05:35,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/285467519_1733973783614975_3901231607043857803_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=xklj9lp5zDwAX8l0fld&edm=ACHbZRIBAAAA&vs=424551002824029_1673924730&_nc_vs=HBksFQAYJEdILWpBeEgtRld3N0Npa0dBSXNkWUJ4NjlTTTJicV9FQUFBRhUAAsgBABUAGCRHQ3gxQXhIdjBnR0RBeWtCQUxQOEEwTlRzSkpsYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmjpO71PrQ4D8VAigCQzMsF0AsMzMzMzMzGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b11b6bf0&ccb=7-5&oe=629CF9F4&oh=00_AT-wuN_w1dhjIzT-jzdtQDBMh9X8-tzIjO1MTwyxfvJ3Jg&_nc_sid=4a9e64,36,2247,51862,27889,Reels
CeNsX7kFkwu,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850129297746054190_6962813839,58.654,"Enggak ngerti lagi deh, uang segitu pertanggung jawabannya lemah. Itu kan uang buat rakyat kurang mampu. Lagian yang terima bansos tapi orang mampu enggak malu apa ya? | InMySotoyOpinion 

#Narasi #JadiPaham #IMSO # #BPK #BangSotoy #BantuanSosial #InMySotoyOpinion",2022-05-31 14:26:24,https://instagram.fcgk37-2.fna.fbcdn.net/v/t50.2886-16/285271138_431701088373528_5395582974471051323_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=zqNM7refgGUAX8VR2Zm&tn=eFLwVbSMUqQ_bHKN&edm=ACHbZRIBAAAA&vs=5086662891422144_3837228698&_nc_vs=HBksFQAYJEdHTGtBQkVZaXdVX29ZZ0JBRHNZZnRVZzl1QkticV9FQUFBRhUAAsgBABUAGCRHTk9sQkJIUV9BaEVBWnNBQUlzZmVQa1FWSVlwYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm1sH82syN%2Bz8VAigCQzMsF0BNTMzMzMzNGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b11cc792&ccb=7-5&oe=629D2FC7&oh=00_AT8j4mEgQZlISS-8pi4_Ite0fyaIgRz8Ktde_CP9eIPSRg&_nc_sid=4a9e64,154,3873,82206,39445,Reels
CeNmtUqFUqV,narasi.tv,https://www.instagram.com/reel/narasi.tv/video/2850104379520141973_6962813839,59.931,"Terima kasih @sakdiyah.maruf sudah menyuarakan ini di Oslo Freedom Forum yang berlangsung pada 23-25 Mei 2022 lalu!

Betapa perempuan butuh RUANG AMAN!!!

Credit: YouTube/Oslo Freedom Forum | WMN by Narasi

@wmnbynarasi 

#BerFlowerBarengWMN #BerFlowerBareng #WMNbyNarasi #WMNtribe #SakdiyahMaruf #Motivasi #WMNWords #WomenEmpowerment #WMNReels",2022-05-31 13:36:55,https://instagram.fcgk37-1.fna.fbcdn.net/v/t50.2886-16/284126070_130004606325203_9074778290871942107_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fcgk37-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=LQcVK4OprLoAX-JxjJ0&edm=ACHbZRIBAAAA&vs=558526949043201_2778562316&_nc_vs=HBksFQAYJEdIWnI3eERURVdFT1BYWUFBTnM3MlhyR0Z2QjlicV9FQUFBRhUAAsgBABUAGCRHRHJaOXhDdEJjOTdvc2NFQUo2VXd6QUZtWW9EYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmypjf2Z2%2F3j8VAigCQzMsF0BN7tkWhysCGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=e8b1107c16&ccb=7-5&oe=629D54AE&oh=00_AT9W1XFshRK7Md-zLvmZppVkOxiHFoGYCgy5P-ZKEQZ6Kw&_nc_sid=4a9e64,31,2098,70538,32291,Reels
